country,year,metal,matrix,unit,population,n,source,percentile,value,numero_muertes
Belgium,2005,Pb,Blood Whole Blood,µg/L,POPULATION,1579,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/FLEHS1REFADULT,P50,39.18,6198.0091404604345
Belgium,2009,Pb,Blood Whole Blood,µg/L,POPULATION,243,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/FLEHS2REFNB,P50,10.941,6954.443990872258
Czech Republic,2005,Hg,Blood Whole Blood,µg/L,POPULATION,405,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/CZECHHBMAE2005,P50,0.99,3027.959549489493
Czech Republic,2005,Pb,Blood Whole Blood,µg/L,POPULATION,405,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/CZECHHBMAE2005,P50,30.3,3027.959549489493
Czech Republic,2007,Hg,Blood Whole Blood,µg/L,POPULATION,411,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/CZECHHBMAE2007,P50,0.86,3177.797545188503
Czech Republic,2007,Pb,Blood Whole Blood,µg/L,POPULATION,410,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/CZECHHBMAE2007,P50,28.95,3177.797545188503
Czech Republic,2009,Hg,Blood Whole Blood,µg/L,POPULATION,405,https://ipchem.jrc.ec.europa.eu/index.html#showmetadata/CZECHHBMAE2009,P50,0.66,3382.548769644636
Czech Republic,2009,Pb,Blood Whole Blood,µg/L,POPULATION,405,https://ipchem.jrc.ec.europa.eu/index.html#showmetadata/CZECHHBMAE2009,P50,19.9,3382.548769644636
Czech Republic,2015,Hg,Blood Whole Blood,µg/L,POPULATION,302,https://ipchem.jrc.ec.europa.eu/index.html#showmetadata/CZECHHBMAE2015,P50,0.645,4257.6368070355675
Czech Republic,2015,Pb,Blood Whole Blood,µg/L,POPULATION,302,https://ipchem.jrc.ec.europa.eu/index.html#showmetadata/CZECHHBMAE2015,P50,16.4406,4257.6368070355675
Germany,2007,Hg,Blood Whole Blood,µg/L,POPULATION,430,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,0.855,52458.77173524261
Germany,2007,Pb,Blood Whole Blood,µg/L,POPULATION,427,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,14.094,52458.77173524261
Germany,2008,Hg,Blood Whole Blood,µg/L,POPULATION,453,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,0.809,53119.85582433237
Germany,2008,Pb,Blood Whole Blood,µg/L,POPULATION,448,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,13.7535,53119.85582433237
Germany,2009,Hg,Blood Whole Blood,µg/L,POPULATION,424,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,0.824,54552.69106507651
Germany,2009,Pb,Blood Whole Blood,µg/L,POPULATION,422,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,12.4706,54552.69106507651
Germany,2010,Hg,Blood Whole Blood,µg/L,POPULATION,457,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,0.775,56244.19919868909
Germany,2010,Pb,Blood Whole Blood,µg/L,POPULATION,454,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,11.37,56244.19919868909
Germany,2011,Pb,Blood Whole Blood,µg/L,POPULATION,477,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,12.23,57362.38923629378
Germany,2012,Pb,Blood Whole Blood,µg/L,POPULATION,491,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,11.98,58763.20951027435
Germany,2013,Pb,Blood Whole Blood,µg/L,POPULATION,491,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,11.7,60094.81508788059
Germany,2014,Pb,Blood Whole Blood,µg/L,POPULATION,495,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,10.87,62016.726315666274
Germany,2015,Pb,Blood Whole Blood,µg/L,POPULATION,491,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,12,64115.447561010165
Germany,2016,Pb,Blood Whole Blood,µg/L,POPULATION,504,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,10.605,66858.53464727737
Germany,2017,Pb,Blood Whole Blood,µg/L,POPULATION,508,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,10.895,69042.78730418913
Germany,2018,Pb,Blood Whole Blood,µg/L,POPULATION,515,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,11.16,71826.6476457478
Germany,2019,Pb,Blood Whole Blood,µg/L,POPULATION,510,https://ipchem.jrc.ec.europa.eu/#showmetadata/ESB,P50,9.935,74732.96448306303
Norway,2008,Hg,Blood Whole Blood,µg/L,POPULATION,2962,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/MOBA,P50,1.025,2843.1457455636864
Norway,2008,Pb,Blood Whole Blood,µg/L,POPULATION,2963,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/MOBA,P50,8.2064,2843.1457455636864
Slovenia,2014,Hg,Blood Whole Blood,µg/L,POPULATION,1083,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/SLOHBM,P50,1.199,959.8914690862556
Slovenia,2014,Pb,Blood Whole Blood,µg/L,POPULATION,1084,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/SLOHBM,P50,17.4806,959.8914690862556
Spain,2010,Hg,Blood Serum,µg/L,POPULATION,1880,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/BIOAMBIENTES,P50,6.525,27469.550381984103
Spain,2010,Pb,Blood Whole Blood,µg/L,POPULATION,1880,https://ipchem.jrc.ec.europa.eu/RDSIdiscovery/ipchem/index.html#showmetadata/BIOAMBIENTES,P50,22.5,27469.550381984103
